Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-06-27,268.209991,268.299988,263.279999,264.890015,263.586121,24615100,MSFT
2022-06-24,261.809998,267.980011,261.720001,267.700012,266.382294,33923200,MSFT
2022-06-23,255.570007,259.369995,253.630005,258.859985,257.585785,25861400,MSFT
2022-06-22,251.889999,257.170013,250.369995,253.130005,251.884003,25939900,MSFT
2022-06-21,250.259995,254.75,249.509995,253.740005,252.490997,29928300,MSFT
2022-06-17,244.699997,250.5,244.029999,247.649994,246.430969,43084800,MSFT
2022-06-16,245.979996,247.419998,243.020004,244.970001,243.76416,33169200,MSFT
2022-06-15,248.309998,255.300003,246.419998,251.759995,250.520737,33111700,MSFT
2022-06-14,243.860001,245.740005,241.509995,244.490005,243.28653,28651500,MSFT
2022-06-13,245.110001,249.020004,241.529999,242.259995,241.067505,46135800,MSFT
2022-06-10,260.579987,260.579987,252.529999,252.990005,251.74469,31422800,MSFT
2022-06-09,267.779999,272.709991,264.630005,264.790009,263.486633,26439700,MSFT
2022-06-08,271.709991,273,269.609985,270.410004,269.078949,17372300,MSFT
2022-06-07,266.640015,273.130005,265.940002,272.5,271.158661,22860700,MSFT
2022-06-06,272.059998,274.179993,267.220001,268.75,267.427094,22400300,MSFT
2022-06-03,270.309998,273.450012,268.410004,270.019989,268.690857,28059000,MSFT
2022-06-02,264.450012,274.649994,261.600006,274.579987,273.228394,44008200,MSFT
2022-06-01,275.200012,277.690002,270.040009,272.420013,271.079041,25292200,MSFT
2022-05-31,272.529999,274.769989,268.929993,271.869995,270.531769,37827700,MSFT
2022-05-27,268.480011,273.339996,267.559998,273.23999,271.894989,26910800,MSFT
2022-05-26,262.269989,267.109985,261.429993,265.899994,264.591125,25002100,MSFT
2022-05-25,258.140015,264.579987,257.130005,262.519989,261.227783,28547900,MSFT
2022-05-24,257.890015,261.329987,253.5,259.619995,258.342041,29043900,MSFT
2022-05-23,255.490005,261.5,253.429993,260.649994,259.366974,33175400,MSFT
2022-05-20,257.23999,258.540009,246.440002,252.559998,251.316803,39199300,MSFT
2022-05-19,253.899994,257.670013,251.880005,253.139999,251.893951,32692300,MSFT
2022-05-18,263,263.600006,252.770004,254.080002,252.82933,31356000,MSFT
2022-05-17,266.109985,268.329987,262.459991,266.820007,264.889679,28828800,MSFT
2022-05-16,259.959991,265.820007,255.779999,261.5,259.608154,32550900,MSFT
2022-05-13,257.350006,263.040009,255.350006,261.119995,259.230927,34925100,MSFT
2022-05-12,257.690002,259.880005,250.020004,255.350006,253.50264,51033800,MSFT
2022-05-11,265.679993,271.359985,259.299988,260.549988,258.665009,48975900,MSFT
2022-05-10,271.690002,273.75,265.070007,269.5,267.550262,39336400,MSFT
2022-05-09,270.059998,272.359985,263.320007,264.579987,262.665863,47726000,MSFT
2022-05-06,274.809998,279.25,271.269989,274.730011,272.742432,37780300,MSFT
2022-05-05,285.540009,286.350006,274.339996,277.350006,275.343475,43260400,MSFT
2022-05-04,282.589996,290.880005,276.730011,289.980011,287.882111,33599300,MSFT
2022-05-03,283.959991,284.130005,280.149994,281.779999,279.741425,25978600,MSFT
2022-05-02,277.709991,284.940002,276.220001,284.470001,282.411957,35151100,MSFT
2022-04-29,288.609985,289.880005,276.5,277.519989,275.512207,37073900,MSFT
2022-04-28,285.190002,290.980011,281.459991,289.630005,287.534637,33646600,MSFT
2022-04-27,282.100006,290.970001,279.160004,283.220001,281.171021,63477700,MSFT
2022-04-26,277.5,278.359985,270,270.220001,268.265076,46518400,MSFT
2022-04-25,273.290009,281.109985,270.769989,280.720001,278.689087,35678900,MSFT
2022-04-22,281.679993,283.200012,273.380005,274.029999,272.047485,29405800,MSFT
2022-04-21,288.579987,293.299988,280.059998,280.809998,278.778412,29454600,MSFT
2022-04-20,289.399994,289.700012,285.369995,286.359985,284.288269,22906700,MSFT
2022-04-19,279.380005,286.170013,278.410004,285.299988,283.235962,22297700,MSFT
2022-04-18,278.910004,282.459991,278.339996,280.519989,278.49054,20778000,MSFT
2022-04-14,288.089996,288.309998,279.320007,279.829987,277.805542,28221600,MSFT
2022-04-13,282.730011,288.579987,281.299988,287.619995,285.539154,21907200,MSFT
2022-04-12,289.23999,290.73999,280.48999,282.059998,280.019409,30966700,MSFT
2022-04-11,291.790009,292.609985,285,285.26001,283.196289,34569300,MSFT
2022-04-08,300.440002,301.119995,296.279999,296.970001,294.821503,24361900,MSFT
2022-04-07,296.660004,303.649994,296.350006,301.369995,299.189667,31411200,MSFT
2022-04-06,305.190002,307,296.709991,299.5,297.333191,40110400,MSFT
2022-04-05,313.269989,314.869995,309.869995,310.880005,308.63089,23156700,MSFT
2022-04-04,310.089996,315.109985,309.709991,314.970001,312.691315,24289600,MSFT
2022-04-01,309.369995,310.130005,305.540009,309.420013,307.181458,27110500,MSFT
2022-03-31,313.899994,315.140015,307.890015,308.309998,306.079468,33422100,MSFT
2022-03-30,313.76001,315.950012,311.579987,313.859985,311.589325,28163600,MSFT
2022-03-29,313.910004,315.820007,309.049988,315.410004,313.128113,30393400,MSFT
2022-03-28,304.329987,310.799988,304.329987,310.700012,308.452209,29578200,MSFT
2022-03-25,305.230011,305.5,299.290009,303.679993,301.482971,22566500,MSFT
2022-03-24,299.140015,304.200012,298.320007,304.100006,301.899963,24484500,MSFT
2022-03-23,300.51001,303.230011,297.720001,299.48999,297.323273,25715400,MSFT
2022-03-22,299.799988,305,298.769989,304.059998,301.860229,27599700,MSFT
2022-03-21,298.890015,300.140015,294.899994,299.160004,296.995697,28351200,MSFT
2022-03-18,295.369995,301,292.730011,300.429993,298.2565,43390600,MSFT
2022-03-17,293.290009,295.609985,289.369995,295.220001,293.084167,30816600,MSFT
2022-03-16,289.109985,294.570007,283.200012,294.390015,292.260193,37826300,MSFT
2022-03-15,280.350006,287.820007,278.730011,287.149994,285.072571,34245100,MSFT
2022-03-14,280.339996,285.399994,275.820007,276.440002,274.440063,30660700,MSFT
2022-03-11,287.959991,289.51001,279.429993,280.070007,278.043793,27209300,MSFT
2022-03-10,283.019989,286.600006,280.579987,285.589996,283.523865,30628000,MSFT
2022-03-09,283.440002,289.600006,280.779999,288.5,286.412811,35204500,MSFT
2022-03-08,277.799988,283.959991,270,275.850006,273.854309,48159500,MSFT
2022-03-07,288.529999,289.690002,278.529999,278.910004,276.892181,43157200,MSFT
2022-03-04,294.290009,295.660004,287.170013,289.859985,287.762939,32356500,MSFT
2022-03-03,302.890015,303.130005,294.049988,295.920013,293.779144,27314500,MSFT
2022-03-02,295.359985,301.470001,293.700012,300.190002,298.01825,31873000,MSFT
2022-03-01,296.399994,299.970001,292.149994,294.950012,292.816162,31217800,MSFT
2022-02-28,294.309998,299.140015,293,298.790009,296.628357,34627500,MSFT
2022-02-25,295.140015,297.630005,291.649994,297.309998,295.159088,32546700,MSFT
2022-02-24,272.51001,295.160004,271.519989,294.589996,292.45871,56989700,MSFT
2022-02-23,290.179993,291.700012,280.100006,280.269989,278.24231,37811200,MSFT
2022-02-22,285,291.540009,284.5,287.720001,285.638458,41736100,MSFT
2022-02-18,293.049988,293.859985,286.309998,287.929993,285.846924,34264000,MSFT
2022-02-17,296.359985,296.799988,290,290.730011,288.626678,32461600,MSFT
2022-02-16,298.369995,300.869995,293.679993,299.5,297.333191,29982100,MSFT
2022-02-15,300.01001,300.799988,297.019989,300.470001,297.680695,27058300,MSFT
2022-02-14,293.769989,296.76001,291.350006,295,292.261475,36359500,MSFT
2022-02-11,303.190002,304.290009,294.220001,295.040009,292.301086,39175600,MSFT
2022-02-10,304.040009,309.119995,300.700012,302.380005,299.572968,45386200,MSFT
2022-02-09,309.869995,311.929993,307.390015,311.209991,308.320953,31284700,MSFT
2022-02-08,301.25,305.559998,299.950012,304.559998,301.732697,32421200,MSFT
2022-02-07,306.170013,307.839996,299.899994,300.950012,298.15625,28533300,MSFT
2022-02-04,300.209991,308.799988,299.970001,305.940002,303.099884,35096500,MSFT
2022-02-03,309.48999,311.230011,299.959991,301.25,298.45343,43730000,MSFT
2022-02-02,309.630005,315.119995,308.880005,313.459991,310.550079,36636000,MSFT
2022-02-01,310.410004,310.630005,305.130005,308.76001,305.893738,40950400,MSFT
2022-01-31,308.950012,312.380005,306.369995,310.980011,308.09314,46444500,MSFT
2022-01-28,300.230011,308.480011,294.450012,308.26001,305.398376,49743700,MSFT
2022-01-27,302.660004,307.299988,297.929993,299.839996,297.056549,53481300,MSFT
2022-01-26,307.98999,308.5,293.029999,296.709991,293.955566,90428900,MSFT
2022-01-25,291.519989,294.98999,285.170013,288.48999,285.81189,72848600,MSFT
2022-01-24,292.200012,297.109985,276.049988,296.369995,293.618744,85731500,MSFT
2022-01-21,302.690002,304.109985,295.609985,296.029999,293.281891,57984400,MSFT
2022-01-20,309.070007,311.649994,301.140015,301.600006,298.800201,35380700,MSFT
2022-01-19,306.290009,313.910004,302.700012,303.329987,300.51413,45933900,MSFT
2022-01-18,304.070007,309.799988,301.73999,302.649994,299.840424,42333200,MSFT
2022-01-14,304.25,310.820007,303.75,310.200012,307.320374,39846400,MSFT
2022-01-13,320.470001,320.880005,304,304.799988,301.97049,45366000,MSFT
2022-01-12,319.670013,323.410004,317.079987,318.269989,315.31543,34372200,MSFT
2022-01-11,313.380005,316.609985,309.890015,314.980011,312.056,29386800,MSFT
2022-01-10,309.48999,314.720001,304.690002,314.269989,311.35257,44289500,MSFT
2022-01-07,314.149994,316.5,310.089996,314.040009,311.124695,32720000,MSFT
2022-01-06,313.149994,318.700012,311.48999,313.880005,310.966217,39646100,MSFT
2022-01-05,325.859985,326.070007,315.980011,316.380005,313.443024,40054300,MSFT
2022-01-04,334.829987,335.200012,326.119995,329.01001,325.95578,32674300,MSFT
2022-01-03,335.350006,338,329.779999,334.75,331.642456,28865100,MSFT
2021-12-31,338.51001,339.359985,335.850006,336.320007,333.197906,18000800,MSFT
2021-12-30,341.910004,343.130005,338.820007,339.320007,336.170013,15994500,MSFT
2021-12-29,341.299988,344.299988,339.679993,341.950012,338.775635,15042000,MSFT
2021-12-28,343.149994,343.809998,340.320007,341.25,338.082123,15661500,MSFT
2021-12-27,335.459991,342.480011,335.429993,342.450012,339.270966,19947000,MSFT
2021-12-23,332.75,336.390015,332.730011,334.690002,331.583008,19617800,MSFT
2021-12-22,328.299988,333.609985,325.75,333.200012,330.106873,24831500,MSFT
2021-12-21,323.290009,327.730011,319.799988,327.290009,324.251709,24740600,MSFT
2021-12-20,320.049988,322.799988,317.570007,319.910004,316.940247,28326500,MSFT
2021-12-17,320.880005,324.920013,317.25,323.799988,320.794098,47750300,MSFT
2021-12-16,335.709991,336.76001,323.019989,324.899994,321.883881,35034800,MSFT
2021-12-15,328.609985,335.190002,324.5,334.649994,331.543365,35381100,MSFT
2021-12-14,333.220001,334.640015,324.109985,328.339996,325.291992,44438700,MSFT
